solver,jobs,elapsed,value
CombinatorialBnB,5,0.003481626510620117,11
GurobiSolver,5,0.06613683700561523,11.0
CombinatorialBnB,10,0.010264158248901367,46
GurobiSolver,10,0.040384769439697266,46.0
CombinatorialBnB,20,0.03359532356262207,191
GurobiSolver,20,GurobiError,None
CombinatorialBnB,50,0.2849307060241699,1226
GurobiSolver,50,GurobiError,None
CombinatorialBnB,100,1.336076021194458,4951
GurobiSolver,100,GurobiError,None
CombinatorialBnB,200,8.01775074005127,19901
GurobiSolver,200,GurobiError,None
CombinatorialBnB,500,76.05187439918518,124751
GurobiSolver,500,GurobiError,None
CombinatorialBnB,1000,495.753625869751,499501
GurobiSolver,1000,GurobiError,None
CombinatorialBnB,2000,FunctionTimedOut,None
GurobiSolver,2000,GurobiError,None
CombinatorialBnB,5000,FunctionTimedOut,None
GurobiSolver,5000,GurobiError,None
CombinatorialBnB,10000,FunctionTimedOut,None
GurobiSolver,10000,GurobiError,None
CombinatorialBnB,20000,FunctionTimedOut,None
GurobiSolver,20000,GurobiError,None
CombinatorialBnB,50000,FunctionTimedOut,None
GurobiSolver,50000,GurobiError,None
